 Madera (Angulo D)   
t x y θ 
5.733 -8.348 -45.20 -100.5
5.766 -4.896 -45.70 -96.1
5.799 -1.292 -45.99 -91.6
5.833 2.269 -45.95 -87.2
5.866 5.739 -45.65 -82.8
5.899 8.993 -45.06 -78.7
5.933 11.99 -44.31 -74.9
5.966 14.59 -43.45 -71.4
5.999 16.80 -42.62 -68.5
6.033 18.65 -41.74 -65.9
6.066 20.00 -41.02 -64.0
6.099 21.47 -40.32 -62.0
6.133 22.02 -40.00 -61.2
6.166 22.13 -39.90 -61.0
6.199 21.82 -40.04 -61.4
6.233 21.09 -40.44 -62.5
6.266 19.93 -41.04 -64.1
6.299 18.22 -41.84 -66.5
6.333 16.12 -42.74 -69.3
6.366 13.52 -43.66 -72.8
6.399 10.75 -44.51 -76.4
6.433 7.614 -45.19 -80.4
6.466 4.252 -45.68 -84.7
6.499 0.942 -45.89 -88.8
6.533 -2.735 -45.88 -93.4
6.566 -6.237 -45.52 -97.8
6.599 -9.544 -44.99 -102.0
6.633 -12.54 -44.24 -105.8
6.666 -15.22 -43.38 -109.3
6.699 -17.71 -42.44 -112.6
6.733 -19.71 -41.56 -115.4
6.766 -21.09 -40.82 -117.3
6.799 -22.17 -40.26 -118.8
6.833 -22.58 -40.00 -119.4
6.866 -22.61 -39.95 -119.5
6.899 -22.20 -40.15 -118.9
6.933 -21.39 -40.57 -117.8
6.966 -20.04 -41.24 -115.9
6.999 -18.25 -42.04 -113.5
7.033 -16.06 -42.92 -110.5
7.066 -13.53 -43.80 -107.2
7.099 -10.74 -44.62 -103.5
7.133 -7.631 -45.26 -99.6
7.166 -4.337 -45.72 -95.4
7.199 -1.030 -45.96 -91.3
7.233 2.301 -45.91 -87.1
7.266 5.510 -45.63 -83.1
7.299 8.551 -45.13 -79.3
7.333 11.32 -44.49 -75.7
7.366 13.80 -43.69 -72.5
7.399 15.86 -42.94 -69.7
7.433 17.44 -42.21 -67.6
7.466 19.40 -41.41 -64.9
7.499 20.38 -40.89 -63.5
7.533 20.61 -40.67 -63.1
7.566 20.68 -40.58 -63.0
7.599 20.34 -40.74 -63.5
7.633 19.67 -41.08 -64.4
7.666 18.47 -41.63 -66.1
7.699 16.67 -42.38 -68.5
7.733 14.81 -43.13 -71.1
7.766 12.37 -43.95 -74.3
7.799 9.753 -44.68 -77.7
7.833 6.801 -45.28 -81.5
7.866 3.710 -45.70 -85.4
7.899 0.231 -45.84 -89.7
7.933 -2.837 -45.86 -93.5
7.966 -6.057 -45.56 -97.6
7.999 -9.155 -45.05 -101.5
8.033 -11.95 -44.36 -105.1
8.066 -14.44 -43.59 -108.3
8.099 -16.60 -42.74 -111.2
8.133 -18.62 -41.96 -113.9
8.166 -19.93 -41.30 -115.8
8.199 -20.80 -40.84 -117.0
8.233 -21.21 -40.61 -117.6
8.266 -21.18 -40.62 -117.5
8.299 -20.75 -40.83 -116.9
8.333 -19.89 -41.22 -115.8
8.366 -18.60 -41.83 -114.0
8.399 -16.85 -42.55 -111.6
8.432 -14.76 -43.34 -108.8
8.466 -12.36 -44.11 -105.7
8.499 -9.689 -44.81 -102.2
8.532 -6.776 -45.40 -98.5
8.566 -3.626 -45.75 -94.5
8.599 -0.618 -45.93 -90.8
8.632 2.503 -45.89 -86.9
8.666 5.479 -45.59 -83.1
8.699 8.226 -45.14 -79.7
8.732 10.80 -44.56 -76.4
8.766 13.03 -43.91 -73.5
8.799 14.93 -43.23 -70.9
8.832 16.41 -42.59 -68.9
8.866 18.13 -41.89 -66.6
8.899 19.06 -41.46 -65.3
8.932 19.50 -41.21 -64.7
8.966 19.37 -41.23 -64.8
8.999 19.11 -41.35 -65.2
9.032 18.23 -41.73 -66.4
9.066 17.06 -42.24 -68.0
9.099 15.43 -42.89 -70.2
9.132 13.45 -43.60 -72.9
9.166 11.25 -44.28 -75.7
9.199 8.581 -44.95 -79.2
9.232 5.810 -45.46 -82.7
9.266 2.953 -45.78 -86.3
9.299 -4.168E-2 -45.87 -90.1
9.332 -3.187 -45.86 -94.0
9.366 -6.202 -45.53 -97.8
9.399 -9.011 -45.09 -101.3
9.432 -11.60 -44.47 -104.6
9.466 -13.82 -43.76 -107.5
9.499 -15.72 -43.09 -110.0
9.532 -17.27 -42.41 -112.2
9.566 -18.82 -41.80 -114.2
9.599 -19.54 -41.43 -115.2
9.632 -19.88 -41.23 -115.7
9.666 -19.80 -41.23 -115.7
9.699 -19.33 -41.45 -115.0
9.732 -18.44 -41.84 -113.8
9.766 -17.08 -42.40 -111.9
9.799 -15.34 -43.09 -109.6
9.832 -13.36 -43.80 -107.0
9.866 -11.03 -44.49 -103.9
9.899 -8.487 -45.10 -100.7
9.932 -5.699 -45.56 -97.1
9.966 -2.848 -45.89 -93.6
9.999 8.079E-2 -45.95 -89.9
10.032 2.993 -45.88 -86.3
10.066 5.740 -45.59 -82.8
10.099 8.269 -45.17 -79.6
10.132 10.51 -44.65 -76.8
10.166 12.51 -44.08 -74.2
10.199 14.21 -43.46 -71.9
10.232 15.59 -42.88 -70.0
10.266 17.36 -42.26 -67.7
10.299 18.05 -41.90 -66.7
10.332 18.35 -41.72 -66.3
10.366 18.26 -41.73 -66.4
10.399 17.80 -41.93 -67.0
10.432 16.89 -42.29 -68.2
10.466 15.65 -42.79 -69.9
10.499 14.03 -43.38 -72.1
10.532 12.18 -44.00 -74.5
10.566 9.952 -44.61 -77.4
10.599 7.451 -45.13 -80.6
10.632 4.864 -45.55 -83.9
10.666 2.069 -45.84 -87.4
10.699 -0.897 -45.92 -91.1
10.732 -3.605 -45.81 -94.5
10.766 -6.420 -45.53 -98.0
10.799 -9.043 -45.08 -101.3
10.832 -11.40 -44.49 -104.4
10.866 -13.40 -43.87 -107.0
10.899 -15.17 -43.24 -109.3
10.932 -16.54 -42.61 -111.2
10.966 -17.81 -42.12 -112.9
10.999 -18.43 -41.80 -113.8
11.032 -18.67 -41.67 -114.1
11.066 -18.48 -41.72 -113.9
11.099 -17.95 -41.95 -113.2
11.132 -17.01 -42.34 -111.9
11.166 -15.60 -42.88 -110.0
11.199 -13.95 -43.48 -107.8
11.232 -12.01 -44.13 -105.2
11.266 -9.789 -44.71 -102.3
11.299 -7.325 -45.24 -99.2
11.332 -4.665 -45.66 -95.8
11.366 -1.992 -45.89 -92.5
11.399 0.923 -45.93 -88.8
11.432 3.438 -45.83 -85.7
11.466 5.916 -45.54 -82.6
11.499 8.243 -45.14 -79.7
11.532 10.35 -44.66 -77.0
11.566 12.12 -44.17 -74.7
11.599 13.68 -43.62 -72.6
11.632 15.55 -42.99 -70.1
11.666 16.30 -42.61 -69.1
11.699 16.88 -42.34 -68.3
11.732 17.03 -42.22 -68.0
11.765 16.80 -42.29 -68.3
11.799 16.28 -42.49 -69.0
11.832 15.48 -42.81 -70.1
11.865 14.23 -43.28 -71.8
11.899 12.74 -43.80 -73.8
11.932 10.73 -44.37 -76.4
11.965 8.644 -44.89 -79.1
11.999 6.287 -45.35 -82.1
12.032 3.803 -45.69 -85.2
12.065 1.107 -45.86 -88.6
12.099 -1.539 -45.88 -91.9
12.132 -4.183 -45.74 -95.2
12.165 -6.724 -45.44 -98.4
12.199 -9.160 -44.99 -101.5
12.232 -11.26 -44.46 -104.2
12.265 -13.13 -43.89 -106.7
12.299 -14.73 -43.32 -108.8
12.332 -16.11 -42.79 -110.6
12.365 -16.99 -42.41 -111.8
12.399 -17.54 -42.15 -112.6
12.432 -17.56 -42.09 -112.6
12.465 -17.30 -42.20 -112.3
12.499 -16.67 -42.44 -111.4
12.532 -15.69 -42.83 -110.1
12.565 -14.34 -43.31 -108.3
12.599 -12.61 -43.89 -106.0
12.632 -10.64 -44.47 -103.5
12.665 -8.474 -44.98 -100.7
12.699 -6.086 -45.43 -97.6
12.732 -3.556 -45.77 -94.4
12.765 -0.923 -45.91 -91.2
12.799 1.503 -45.93 -88.1
12.832 4.039 -45.77 -85.0
12.865 6.392 -45.46 -82.0
12.899 8.539 -45.06 -79.3
12.932 10.51 -44.59 -76.7
12.965 12.10 -44.10 -74.7
12.999 13.83 -43.56 -72.4
13.032 14.99 -43.12 -70.8
13.065 15.73 -42.79 -69.8
13.099 15.95 -42.64 -69.5
13.132 15.97 -42.59 -69.4
13.165 15.76 -42.67 -69.7
13.199 15.17 -42.89 -70.5
13.232 14.29 -43.23 -71.7
13.265 12.97 -43.67 -73.5
