 Madera (Angulo B)   
t x y θ 
5.699 -20.11 -42.42 -115.4
5.733 -23.77 -40.61 -120.3
5.766 -26.66 -38.71 -124.6
5.799 -28.83 -36.98 -127.9
5.833 -30.38 -35.60 -130.5
5.866 -31.29 -34.63 -132.1
5.899 -31.32 -34.46 -132.3
5.933 -31.64 -34.19 -132.8
5.966 -31.06 -34.75 -131.8
5.999 -29.90 -35.74 -129.9
6.033 -28.20 -37.08 -127.3
6.066 -25.87 -38.67 -123.8
6.099 -23.11 -40.45 -119.7
6.133 -19.83 -42.27 -115.1
6.166 -15.89 -43.94 -109.9
6.199 -11.68 -45.32 -104.5
6.233 -6.881 -46.20 -98.5
6.266 -2.231 -46.75 -92.7
6.299 2.684 -46.68 -86.7
6.333 7.443 -46.08 -80.8
6.366 12.03 -45.04 -75.0
6.399 16.14 -43.64 -69.7
6.433 19.80 -42.00 -64.8
6.466 22.86 -40.30 -60.4
6.499 25.30 -38.67 -56.8
6.533 27.21 -37.23 -53.8
6.566 29.20 -35.91 -50.9
6.599 30.06 -35.15 -49.5
6.633 30.41 -34.91 -48.9
6.666 30.18 -35.10 -49.3
6.699 29.30 -35.79 -50.7
6.733 27.94 -36.87 -52.8
6.766 25.78 -38.35 -56.1
6.799 23.20 -40.00 -59.9
6.833 20.07 -41.77 -64.3
6.866 16.34 -43.48 -69.4
6.899 12.07 -44.96 -75.0
6.933 7.331 -46.06 -81.0
6.966 2.439 -46.69 -87.0
6.999 -2.510 -46.71 -93.1
7.033 -6.915 -46.18 -98.5
7.066 -11.87 -45.27 -104.7
7.099 -16.00 -43.91 -110.0
7.133 -19.63 -42.27 -114.9
7.166 -22.72 -40.62 -119.2
7.199 -25.45 -39.13 -123.0
7.233 -27.42 -37.79 -126.0
7.266 -28.78 -36.74 -128.1
7.299 -29.50 -36.06 -129.3
7.333 -29.33 -35.82 -129.3
7.366 -29.21 -36.01 -129.0
7.399 -28.66 -36.68 -128.0
7.433 -27.30 -37.68 -125.9
7.466 -25.50 -38.94 -123.2
7.499 -23.05 -40.39 -119.7
7.533 -20.15 -41.96 -115.7
7.566 -16.81 -43.53 -111.1
7.599 -13.04 -44.89 -106.2
7.633 -8.889 -45.92 -101.0
7.666 -4.512 -46.48 -95.5
7.699 -0.266 -46.40 -90.3
7.733 4.517 -46.48 -84.4
7.766 8.874 -45.79 -79.0
7.799 12.94 -44.71 -73.9
7.833 16.62 -43.36 -69.0
7.866 19.78 -41.90 -64.7
7.899 22.45 -40.43 -61.0
7.933 24.49 -39.11 -57.9
7.966 26.03 -38.03 -55.6
7.999 27.76 -36.98 -53.1
8.033 28.22 -36.56 -52.3
8.066 28.25 -36.58 -52.3
8.099 27.72 -36.95 -53.1
8.133 26.63 -37.72 -54.8
8.166 24.80 -38.93 -57.5
8.199 22.61 -40.28 -60.7
8.233 19.93 -41.76 -64.5
8.266 16.69 -43.27 -68.9
8.299 12.94 -44.63 -73.8
8.332 8.769 -45.78 -79.2
8.366 4.279 -46.50 -84.7
8.399 -0.356 -46.41 -90.4
8.432 -4.777 -46.51 -95.9
8.466 -9.173 -45.93 -101.3
8.499 -13.23 -44.84 -106.4
8.532 -16.88 -43.54 -111.2
8.566 -19.97 -42.11 -115.4
8.599 -22.81 -40.78 -119.2
8.632 -24.93 -39.49 -122.3
8.666 -26.44 -38.48 -124.5
8.699 -27.45 -37.73 -126.0
8.732 -27.83 -37.36 -126.7
8.766 -27.80 -37.38 -126.6
8.799 -27.25 -37.79 -125.8
8.832 -26.18 -38.55 -124.2
8.866 -24.59 -39.59 -121.9
8.899 -22.50 -40.80 -118.9
8.932 -19.91 -42.10 -115.3
8.966 -16.90 -43.48 -111.2
8.999 -13.50 -44.74 -106.8
9.032 -9.765 -45.76 -102.0
9.066 -5.738 -46.41 -97.0
9.099 -1.531 -46.71 -91.9
9.132 2.666 -46.61 -86.7
9.166 6.772 -46.13 -81.6
9.199 10.63 -45.30 -76.8
9.232 14.19 -44.22 -72.2
9.266 17.32 -43.04 -68.1
9.299 19.96 -41.77 -64.5
9.332 22.06 -40.68 -61.5
9.366 23.72 -39.65 -59.1
9.399 25.63 -38.50 -56.3
9.432 26.32 -38.03 -55.3
9.466 26.49 -37.93 -55.1
9.499 26.19 -38.15 -55.5
9.532 25.29 -38.74 -56.9
9.566 23.83 -39.63 -59.0
9.599 21.75 -40.79 -61.9
9.632 19.29 -42.08 -65.4
9.666 16.36 -43.36 -69.3
9.699 12.96 -44.58 -73.8
9.732 9.191 -45.60 -78.6
9.766 5.117 -46.36 -83.7
9.799 0.948 -46.60 -88.8
9.832 -3.332 -46.59 -94.1
9.866 -7.529 -46.15 -99.3
9.899 -11.32 -45.37 -104.0
9.932 -14.81 -44.25 -108.5
9.966 -17.93 -43.05 -112.6
9.999 -20.78 -41.85 -116.4
10.032 -22.90 -40.70 -119.4
10.066 -24.53 -39.71 -121.7
10.099 -25.62 -39.00 -123.3
10.132 -26.16 -38.59 -124.1
10.166 -26.23 -38.55 -124.2
10.199 -25.85 -38.83 -123.6
10.232 -24.92 -39.41 -122.3
10.266 -23.52 -40.27 -120.3
10.299 -21.61 -41.33 -117.6
10.332 -19.26 -42.47 -114.4
10.366 -16.50 -43.63 -110.7
10.399 -13.32 -44.73 -106.6
10.432 -9.846 -45.66 -102.2
10.466 -6.144 -46.30 -97.6
10.499 -2.295 -46.66 -92.8
10.532 1.621 -46.62 -88.0
10.566 5.513 -46.28 -83.2
10.599 9.206 -45.63 -78.6
10.632 12.60 -44.71 -74.3
10.666 15.64 -43.66 -70.3
10.699 18.23 -42.58 -66.8
10.732 20.29 -41.59 -64.0
10.766 21.92 -40.68 -61.7
10.799 23.84 -39.65 -59.0
10.832 24.63 -39.15 -57.8
10.866 24.80 -39.00 -57.6
10.899 24.64 -39.14 -57.8
10.932 23.84 -39.61 -59.0
10.966 22.34 -40.40 -61.1
10.999 20.55 -41.37 -63.6
11.032 18.34 -42.48 -66.7
11.066 15.69 -43.59 -70.2
11.099 12.56 -44.64 -74.3
11.132 9.063 -45.53 -78.7
11.166 5.278 -46.21 -83.5
11.199 1.306 -46.53 -88.4
11.232 -2.590 -46.52 -93.2
11.266 -6.477 -46.17 -98.0
11.299 -10.11 -45.52 -102.5
11.332 -13.48 -44.62 -106.8
11.366 -16.47 -43.57 -110.7
11.399 -19.10 -42.49 -114.2
11.432 -21.24 -41.50 -117.1
11.466 -22.89 -40.62 -119.4
11.499 -23.97 -39.93 -121.0
11.532 -24.61 -39.54 -121.9
11.566 -24.75 -39.45 -122.1
11.599 -24.41 -39.65 -121.6
11.632 -23.57 -40.13 -120.4
11.665 -22.32 -40.87 -118.6
11.699 -20.56 -41.78 -116.2
11.732 -18.34 -42.76 -113.2
11.765 -15.73 -43.81 -109.8
11.799 -12.76 -44.75 -105.9
11.832 -9.517 -45.55 -101.8
11.865 -6.050 -46.12 -97.5
11.899 -2.497 -46.47 -93.1
11.932 1.159 -46.45 -88.6
11.965 4.838 -46.21 -84.0
11.999 8.264 -45.69 -79.7
12.032 11.49 -44.93 -75.7
12.065 14.35 -44.03 -71.9
12.099 16.77 -43.13 -68.8
12.132 18.79 -42.24 -66.0
12.165 20.39 -41.45 -63.8
12.199 22.28 -40.49 -61.2
12.232 23.09 -40.04 -60.0
12.265 23.29 -39.88 -59.7
12.299 23.17 -40.02 -59.9
12.332 22.43 -40.41 -61.0
12.365 21.15 -41.06 -62.7
12.399 19.49 -41.89 -65.1
12.432 17.31 -42.87 -68.0
12.465 14.77 -43.85 -71.4
12.499 11.82 -44.79 -75.2
12.532 8.533 -45.62 -79.4
12.565 5.033 -46.20 -83.8
12.599 1.274 -46.51 -88.4
12.632 -2.357 -46.50 -92.9
12.665 -5.948 -46.19 -97.3
12.699 -9.384 -45.63 -101.6
12.732 -12.56 -44.83 -105.6
12.765 -15.42 -43.94 -109.3
12.799 -18.03 -43.03 -112.7
12.832 -20.07 -42.16 -115.5
12.865 -21.63 -41.34 -117.6
12.899 -22.72 -40.78 -119.1
12.932 -23.30 -40.41 -120.0
12.965 -23.45 -40.30 -120.2
12.999 -23.12 -40.49 -119.7
13.032 -22.33 -40.93 -118.6
13.065 -21.07 -41.57 -116.9
13.099 -19.39 -42.37 -114.6
13.132 -17.27 -43.26 -111.8
13.165 -14.80 -44.12 -108.5
13.199 -12.02 -44.99 -105.0
13.232 -8.999 -45.74 -101.1
13.265 -5.710 -46.22 -97.0
13.299 -2.321 -46.50 -92.9
13.332 1.090 -46.46 -88.7
13.365 4.496 -46.28 -84.5
13.399 7.771 -45.79 -80.4
13.432 10.78 -45.12 -76.6
13.465 13.47 -44.33 -73.1
13.499 15.76 -43.53 -70.1
13.532 17.70 -42.74 -67.5
13.565 19.20 -42.06 -65.5
13.599 20.30 -41.51 -63.9
13.632 21.75 -40.82 -61.9
13.665 22.00 -40.67 -61.6
13.699 21.81 -40.81 -61.9
13.732 21.08 -41.18 -62.9
13.765 19.93 -41.76 -64.5
13.799 18.07 -42.59 -67.0
13.832 15.98 -43.44 -69.8
13.865 13.66 -44.25 -72.8
13.899 10.91 -45.05 -76.4
13.932 7.833 -45.74 -80.3
13.965 4.520 -46.22 -84.4
13.999 1.046 -46.44 -88.7
14.032 -2.357 -46.44 -92.9
14.065 -5.771 -46.13 -97.1
14.099 -9.019 -45.63 -101.2
14.132 -11.96 -44.94 -104.9
14.165 -14.62 -44.12 -108.3
14.199 -16.95 -43.29 -111.4
14.232 -18.87 -42.51 -113.9
14.265 -20.43 -41.85 -116.0
14.299 -21.42 -41.33 -117.4
14.332 -21.98 -41.01 -118.2
14.365 -22.04 -40.94 -118.3
14.399 -21.72 -41.12 -117.8
14.432 -20.94 -41.52 -116.8
14.465 -19.74 -42.10 -115.1
14.499 -18.13 -42.81 -113.0
14.532 -16.13 -43.60 -110.3
14.565 -13.74 -44.42 -107.2
14.599 -11.04 -45.16 -103.7
14.632 -8.207 -45.77 -100.2
14.665 -5.107 -46.20 -96.3
14.699 -1.910 -46.43 -92.4
14.732 1.303 -46.39 -88.4
14.765 4.477 -46.17 -84.5
14.799 7.501 -45.76 -80.7
14.832 10.29 -45.20 -77.2
14.865 12.80 -44.50 -74.0
14.899 14.98 -43.78 -71.1
14.932 16.77 -43.10 -68.7
14.965 18.15 -42.49 -66.9
14.998 19.14 -41.99 -65.5
15.032 20.54 -41.37 -63.6
15.065 20.71 -41.30 -63.4
15.098 20.44 -41.41 -63.7
15.132 19.72 -41.77 -64.7
15.165 18.59 -42.30 -66.3
15.198 16.92 -42.99 -68.5
15.232 14.84 -43.74 -71.3
15.265 12.47 -44.50 -74.3
15.298 9.924 -45.19 -77.6
15.332 6.978 -45.79 -81.3
15.365 3.792 -46.23 -85.3
15.398 0.788 -46.35 -89.0
