 data bronce largo15   
t x y θ 
5.724 -6.325 -14.87 -113.0
5.758 -6.435 -14.82 -113.5
5.791 -6.220 -14.99 -112.5
5.825 -5.657 -15.22 -110.4
5.858 -4.814 -15.58 -107.2
5.892 -3.664 -15.70 -103.1
5.925 -2.405 -16.24 -98.4
5.959 -0.935 -16.43 -93.3
5.992 0.652 -16.36 -87.7
6.026 2.178 -16.31 -82.4
6.059 3.244 -16.16 -78.6
6.093 3.554 -15.47 -77.1
6.126 4.865 -15.21 -72.3
6.160 5.614 -14.89 -69.3
6.193 6.222 -14.58 -66.9
6.227 5.831 -14.77 -68.5
6.260 5.492 -14.97 -69.9
6.293 4.347 -15.41 -74.3
6.327 3.353 -16.04 -78.2
6.360 2.326 -16.33 -81.9
6.394 7.409E-2 -16.70 -89.7
6.427 -1.433 -16.72 -94.9
6.461 -3.516 -16.55 -102.0
6.494 -5.070 -16.10 -107.5
6.528 -6.093 -15.72 -111.2
6.561 -6.337 -14.77 -113.2
6.595 -7.151 -15.28 -115.1
6.628 -6.596 -14.49 -114.5
6.662 -6.967 -15.35 -114.4
6.695 -6.288 -15.71 -111.8
6.729 -5.592 -15.96 -109.3
6.762 -4.548 -16.30 -105.6
6.796 -3.389 -16.55 -101.6
6.829 -2.010 -16.70 -96.9
6.863 -0.376 -16.71 -91.3
6.896 1.615 -16.52 -84.4
6.930 3.076 -16.19 -79.2
6.963 4.252 -15.79 -74.9
6.996 5.284 -15.34 -71.0
7.030 6.248 -15.03 -67.4
7.063 6.635 -14.89 -66.0
7.097 6.597 -14.84 -66.0
7.130 5.408 -14.86 -70.0
7.164 4.395 -15.27 -73.9
7.197 3.856 -15.81 -76.3
7.231 2.002 -16.32 -83.0
7.264 0.104 -16.60 -89.6
7.298 -1.453 -16.66 -95.0
7.331 -3.274 -16.52 -101.2
7.365 -4.524 -16.30 -105.5
7.398 -5.470 -15.99 -108.9
7.432 -6.589 -15.50 -113.0
7.465 -7.012 -15.24 -114.7
7.499 -6.324 -14.99 -112.9
7.532 -6.992 -15.28 -114.6
7.566 -6.472 -15.55 -112.6
7.599 -5.823 -15.82 -110.2
7.632 -4.441 -16.26 -105.3
7.666 -3.378 -16.54 -101.5
7.699 -1.932 -16.72 -96.6
7.733 -5.596E-2 -16.67 -90.2
7.766 1.205 -16.56 -85.8
7.800 2.782 -16.22 -80.3
7.833 4.397 -15.80 -74.5
7.867 4.674 -15.22 -72.9
7.900 6.116 -15.07 -67.9
7.934 6.554 -14.94 -66.3
7.967 6.526 -14.95 -66.4
8.001 5.407 -14.88 -70.0
8.034 4.291 -15.24 -74.3
8.068 3.887 -15.90 -76.3
8.101 2.471 -16.28 -81.4
8.135 0.332 -16.64 -88.9
8.168 -1.642 -16.66 -95.6
8.202 -2.948 -16.63 -100.1
8.235 -4.017 -16.39 -103.8
8.269 -5.394 -16.10 -108.5
8.302 -6.077 -15.81 -111.0
8.335 -6.820 -15.40 -113.9
8.369 -6.292 -15.11 -112.6
8.402 -6.832 -15.35 -114.0
